layer,iteration,mean_ir_pwr,min_ir_pwr,max_ir_pwr,std_ir_pwr,eiq_ir_pwr,median_ir_pwr,mad_ir_pwr,q_10,q_90,q_5,q_95,q_1,q_99,out_sup,out_sup_rate,out_inf,out_inf_rate
1,1,20.989042,0.039613508,67.88823,7.023832,8.006589889526367,21.051086,5.3351793,10.926337242126465,29.365259170532227,9.16936206817627,32.87921142578125,7.391413688659668,40.447723388671875,36.92445087432861,2.185414782723239,4.8980913162231445,0.06618550852532383
2,1,18.056564,0.051264536,43.071533,6.1533146,9.327815055847168,18.702236,5.0516615,9.292862892150879,25.53440284729004,8.377091407775879,27.755088806152344,6.944015026092529,32.50404739379883,36.289467334747314,0.2205593430830697,-1.0217928886413574,0.0
3,1,18.02081,0.079227015,39.133488,4.9214087,6.634099960327148,18.194252,3.9470859,10.942648887634277,24.203853607177734,9.835800170898438,26.10297203063965,8.314176559448242,29.584299087524414,31.263218879699707,0.458505181763845,4.726819038391113,0.02502020480824793
4,1,16.668043,0.048934333,34.363552,3.5624444,4.49030876159668,17.043129,2.8189955,11.21994400024414,20.91593360900879,9.89871597290039,21.96685791015625,8.316506385803223,23.88927459716797,25.85946750640869,0.1570815791564064,7.898232460021973,0.5258559059496386
5,1,15.7923355,0.086217634,30.903198,3.4596703,4.74662971496582,15.940941,2.7806916,10.998573303222656,20.119003295898438,10.033867835998535,21.3796443939209,8.65904712677002,24.012775421142578,25.239628791809082,0.5050023631648138,6.253109931945801,0.06732040940341011
6,1,15.746794,0.048934333,27.857618,2.9052153,3.462686538696289,16.059782,2.259504,11.364416122436523,19.114683151245117,10.101444244384766,20.0164737701416,8.561177253723145,21.873647689819336,22.880295753479004,0.36698340829882936,9.029549598693848,1.8388887234021427
7,1,15.409698,0.1095197,28.90388,3.1996152,4.504288673400879,15.589081,2.5932355,11.014884948730469,19.387317657470703,10.106104850769043,20.517467498779297,8.745264053344727,23.001466751098633,24.358811855316162,0.3308443879577409,6.3416571617126465,0.07208674239415362
8,1,15.623321,0.06291557,26.638918,2.7904935,3.2086925506591797,15.947932,2.1528397,11.327133178710938,18.835058212280273,10.106104850769043,19.713546752929688,8.605452537536621,21.36799430847168,22.270943641662598,0.34951286644239593,9.436173439025879,2.8387991055648008
9,1,15.305724,0.09553845,28.377254,3.0971427,4.285249710083008,15.421306,2.4948604,11.084792137145996,19.149635314941406,10.162029266357422,20.242502212524414,8.79186725616455,22.67523956298828,23.84616756439209,0.5304339191738655,6.705168724060059,0.0973091053520008
10,1,15.616584,0.08388742,24.404251,2.7337394,3.1481094360351562,15.940941,2.1114228,11.387718200683594,18.80709457397461,10.176011085510254,19.620338439941406,8.673027992248535,21.009584770202643,22.15210723876953,0.1642235028257563,9.559669494628906,2.9715120874058245
